Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=250°C, P=1bar)",,250,1,1.57E-10,5.23E-12,,(table 5),Brunetti 2007,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=280°C, P=1bar)",,280,1,2.91E-10,1.45E-11,,(table 5),Brunetti 2007,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=290°C, P=6bar)",,290,6,2.95E-08,1.28E-09,,"before reaction (figure 3,4)",Brunetti 2007 2,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=250°C, P=6bar)",,250,6,1.50E-08,4.29E-10,,"before reaction (figure 3,4)",Brunetti 2007 2,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=225°C, P=6bar)",,225,6,1.06E-08,3.03E-10,,"before reaction (figure 3,4)",Brunetti 2007 2,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=290°C, P=6bar)",,290,6,4.32E-09,2.16E-10,,"after reaction (figure 3,4)",Brunetti 2007 2,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=250°C, P=6bar)",,250,6,2.30E-09,7.67E-11,,"after reaction (figure 3,4)",Brunetti 2007 2,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=225°C, P=6bar)",,225,6,1.75E-09,5.83E-11,,"after reaction (figure 3,4)",Brunetti 2007 2,
sol-gel,sol-gel Si," by dip coating (T=20°C, P=3bar)",,20,3,1.81E-09,1.35E-10,,T (figure 5),Diniz da Costa 2002,
sol-gel,sol-gel Si," by dip coating (T=50°C, P=3bar)",,50,3,1.86E-09,1.30E-10,,T (figure 5),Diniz da Costa 2002,
sol-gel,sol-gel Si," by dip coating (T=100°C, P=3bar)",,100,3,2.70E-09,1.51E-10,,T (figure 5),Diniz da Costa 2002,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=3bar)",,150,3,5.13E-09,2.05E-10,,T (figure 5),Diniz da Costa 2002,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=3bar)",,150,3,1.01E-08,3.13E-10,,T (figure 7),Diniz da Costa 2002,
sol-gel,sol-gel Si," by dip coating (T=150°C, P=3bar)",,150,3,8.83E-09,1.20E-10,,TS (figure 7),Diniz da Costa 2002,
CVD: Si-Co,CVD Si-Co," on a-y-Al (T=100°C, P=-bar)",,100,-,7.08E-08,7.62E-09,1.94E-08,(figure 6),Diniz da Costa 2008,
CVD: Si-Co,CVD Si-Co," on a-y-Al (T=200°C, P=-bar)",,200,-,7.17E-08,8.71E-09,1.70E-08,(figure 6),Diniz da Costa 2008,
CVD: Si-Co,CVD Si-Co," on a-y-Al (T=300°C, P=-bar)",,300,-,1.17E-07,8.07E-09,1.68E-08,(figure 6),Diniz da Costa 2008,
CVD: Si-Co,CVD Si-Co," on a-y-Al (T=400°C, P=-bar)",,400,-,1.26E-07,7.39E-09,1.53E-08,(figure 6),Diniz da Costa 2008,
