Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel: Carbonised,sol-gel Carbonised,(T=300°C),,300,,8.45E-06,,5.72E-07,(figure 12),Kanazashi 2010,
sol-gel: Carbonised,sol-gel Carbonised,(T=300°C),,300,,3.26E-06,,2.29E-07,(figure 13),Kanazashi 2010,
sol-gel,sol-gel Si,(T=50°C),,50,,1.26E-06,,8.73E-08,(figure 4a),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=100°C),,100,,1.41E-06,,7.58E-08,(figure 4a),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=200°C),,200,,1.51E-06,,6.30E-08,(figure 4a),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=300°C),,300,,1.51E-06,,5.87E-08,(figure 4a),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=400°C),,400,,1.58E-06,,6.47E-08,(figure 4a),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=50°C),,50,,1.29E-08,,2.06E-10,(figure 4b),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=100°C),,100,,2.54E-08,,1.92E-10,(figure 4b),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=200°C),,200,,5.85E-08,,1.79E-10,(figure 4b),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=300°C),,300,,1.07E-07,,1.59E-10,(figure 4b),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=400°C),,400,,1.71E-07,,1.71E-10,(figure 4b),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=50°C),,50,,2.18E-07,,6.24E-09,(figure 7),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=200°C),,200,,3.89E-07,,5.13E-09,(figure 7),Kanazashi 2010 1,
sol-gel,sol-gel Si,(T=400°C),,400,,6.66E-07,,5.35E-09,(figure 7),Kanazashi 2010 1,
CVD,CVD Si,(T=700°C),,700,,3.03E-08,,3.38E-10,M1 before HT (table 1),Kim  1995,
CVD,CVD Si,(T=700°C),,700,,2.97E-08,,1.91E-10,M1 after HT (table 1),Kim  1995,
CVD,CVD Si,(T=700°C),,700,,3.35E-08,,9.55E-11,M2 before HT (table 1),Kim  1995,
CVD,CVD Si,(T=700°C),,700,,3.08E-08,,4.41E-11,M2 after HT (table 1),Kim  1995,
CVD,CVD Si,(T=450°C),,450,,2.79E-08,,2.86E-10,M3 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=600°C),,600,,2.72E-08,,2.64E-10,M3 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=700°C),,700,,2.42E-08,,1.40E-10,M3 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=450°C),,450,,2.42E-08,,3.08E-11,M3 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=600°C),,600,,2.20E-08,,1.10E-11,M3 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=700°C),,700,,1.54E-08,,6.90E-12,M3 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=450°C),,450,,2.72E-08,,9.55E-11,M4 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=600°C),,600,,2.50E-08,,3.38E-11,M4 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=800°C),,800,,2.06E-08,,1.47E-11,M4 before HT (table 2),Kim  1995,
CVD,CVD Si,(T=450°C),,450,,2.50E-08,,2.42E-11,M4 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=600°C),,600,,2.06E-08,,1.32E-11,M4 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=800°C),,800,,1.40E-08,,1.10E-11,M4 after HT (table 2),Kim  1995,
CVD,CVD Si,(T=750°C),,750,,2.94E-08,,1.47E-10,(table 4),Kim  1995,
CVD,CVD Si,(T=600°C),,600,,8.08E-09,,7.34E-12,(table 4),Kim  1995,
CVD,CVD Si," on y-a-Al (T=30°C, P=0.0003bar)",,30,0.0003,1.21E-09,,4.56E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=200°C, P=0.0003bar)",,200,0.0003,3.49E-09,,4.78E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=400°C, P=0.0003bar)",,400,0.0003,8.55E-09,,5.12E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=600°C, P=0.0003bar)",,600,0.0003,1.42E-08,,4.82E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=30°C, P=0.0005bar)",,30,0.0005,1.85E-08,,4.38E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=200°C, P=0.0005bar)",,200,0.0005,1.56E-08,,4.14E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=400°C, P=0.0005bar)",,400,0.0005,1.65E-08,,4.14E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=600°C, P=0.0005bar)",,600,0.0005,2.44E-08,,4.29E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=30°C, P=0.001bar)",,30,0.001,3.56E-08,,9.17E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=200°C, P=0.001bar)",,200,0.001,3.13E-08,,8.44E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=400°C, P=0.001bar)",,400,0.001,2.96E-08,,7.71E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on y-a-Al (T=600°C, P=0.001bar)",,600,0.001,3.39E-08,,7.81E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si," on a-Al (T=30°C, P=0.0003bar)",,30,0.0003,5.12E-09,,8.14E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on a-Al (T=200°C, P=0.0003bar)",,200,0.0003,3.37E-08,,7.91E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on a-Al (T=400°C, P=0.0003bar)",,400,0.0003,7.80E-08,,8.38E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on a-Al (T=600°C, P=0.0003bar)",,600,0.0003,8.95E-08,,8.14E-10,(figure 8),Kim 2001 ss,
CVD,CVD Si," on a-Al (T=30°C, P=0.0005bar)",,30,0.0005,3.59E-08,1.26E-08,1.61E-09,"(figure 8,11)",Kim 2001 ss,
CVD,CVD Si," on a-Al (T=200°C, P=0.0005bar)",,200,0.0005,1.77E-07,1.02E-08,1.52E-09,"(figure 8,11)",Kim 2001 ss,
CVD,CVD Si," on a-Al (T=400°C, P=0.0005bar)",,400,0.0005,3.36E-07,7.58E-09,1.61E-09,"(figure 8,11)",Kim 2001 ss,
CVD,CVD Si," on a-Al (T=600°C, P=0.0005bar)",,600,0.0005,4.47E-07,,3.02E-09,(figure 8),Kim 2001 ss,
CVD,CVD Si,on y-a-Al (T=30°C),,30,,1.23E-09,9.70E-10,4.39E-10,(figure 11),Kim 2001 ss,
CVD,CVD Si,on y-a-Al (T=200°C),,200,,4.21E-09,1.14E-09,5.16E-10,(figure 11),Kim 2001 ss,
CVD,CVD Si,on y-a-Al (T=400°C),,400,,9.30E-09,5.86E-10,4.83E-10,(figure 11),Kim 2001 ss,
sol-gel,sol-gel Si,(T=400°C),,400,,2.52E-07,4.68E-08,8.42E-09,x=0.1 (figure 7a),Kim 2001 ys,
sol-gel,sol-gel Si,(T=500°C),,500,,3.30E-07,4.68E-08,7.55E-09,x=0.1 (figure 7a),Kim 2001 ys,
sol-gel,sol-gel Si,(T=600°C),,600,,3.30E-07,3.85E-08,7.16E-09,x=0.1 (figure 7a),Kim 2001 ys,
sol-gel,sol-gel Si,(T=700°C),,700,,2.66E-08,2.87E-09,6.69E-09,x=0.1 (figure 7a),Kim 2001 ys,
sol-gel,sol-gel Si,(T=400°C),,400,,9.21E-08,1.95E-09,2.55E-09,x=0 (figure 7b),Kim 2001 ys,
sol-gel,sol-gel Si,(T=500°C),,500,,4.47E-08,1.50E-09,1.01E-09,x=0 (figure 7b),Kim 2001 ys,
sol-gel,sol-gel Si,(T=600°C),,600,,6.70E-09,7.07E-10,1.45E-09,x=0 (figure 7b),Kim 2001 ys,
sol-gel,sol-gel Si,(T=100°C),,100,,2.40E-07,2.00E-08,3.10E-09,x=0.1 (table 1),Kim 2001 ys,
sol-gel,sol-gel Si,(T=200°C),,200,,4.04E-07,1.80E-08,4.50E-09,x=0.1 (table 1),Kim 2001 ys,
sol-gel,sol-gel Si,(T=300°C),,300,,6.80E-07,2.00E-08,2.30E-08,x=0.1 (table 1),Kim 2001 ys,
sol-gel,sol-gel Si,(T=15°C),,15,,1.99E-08,4.15E-09,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,(T=70°C),,70,,5.39E-08,7.20E-09,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,(T=100°C),,100,,7.09E-08,6.93E-09,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,(T=150°C),,150,,1.28E-07,1.07E-08,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,(T=200°C),,200,,1.72E-07,8.63E-09,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,(T=300°C),,300,,2.62E-07,8.21E-09,,(figure 8),Kim 2001 ys,
sol-gel,sol-gel Si,by dip coating (T=20°C),,20,,6.48E-07,9.21E-08,5.80E-08,TEOS (figure 4),Kim 2003 ys,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,7.54E-07,6.60E-08,3.93E-08,TEOS (figure 4),Kim 2003 ys,
sol-gel: Templated,sol-gel Templated,by dip coating (T=200°C),,200,,1.85E-06,3.08E-07,1.60E-07,MPTMS (figure 4),Kim 2003 ys,
sol-gel,sol-gel Si,by dip coating (T=200°C),,200,,8.65E-08,1.87E-09,2.41E-09,TEOS on y-Al (figure 4),Kim 2003 ys,
sol-gel,sol-gel Si," (T=150°C, P=1bar)",,150,1,2.90E-07,5.37E-09,3.33E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=200°C, P=1bar)",,200,1,3.50E-07,4.17E-09,2.27E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=250°C, P=1bar)",,250,1,5.40E-07,2.35E-09,1.52E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=300°C, P=1bar)",,300,1,9.50E-07,5.97E-09,3.30E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=350°C, P=1bar)",,350,1,1.20E-06,6.03E-09,3.40E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=150°C, P=3.8bar)",,150,3.8,2.80E-07,1.12E-08,3.64E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=200°C, P=3.8bar)",,200,3.8,3.90E-07,1.05E-08,2.35E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=250°C, P=3.8bar)",,250,3.8,6.00E-07,8.33E-09,1.63E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=300°C, P=3.8bar)",,300,3.8,9.70E-07,1.21E-08,3.27E-09,(table 2),Kruidhof 2005,
sol-gel,sol-gel Si," (T=350°C, P=3.8bar)",,350,3.8,1.20E-06,1.20E-08,3.49E-09,(table 2),Kruidhof 2005,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=1bar)",,100,1,9.46E-08,8.62E-09,1.20E-09,1 (figure 7),Kusakabe 1999,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=1bar)",,100,1,6.34E-07,1.95E-07,6.82E-08,2 (figure 7),Kusakabe 1999,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=1bar)",,100,1,6.08E-07,1.79E-07,1.09E-07,4 (figure 7),Kusakabe 1999,
sol-gel: Templated,sol-gel Templated,by dip coating (T=100°C),,100,,4.38E-07,2.37E-07,2.83E-08,C8TES silica (figure 8),Kusakabe 1999,
sol-gel: Templated,sol-gel Templated,by dip coating (T=100°C),,100,,5.01E-07,2.29E-07,4.19E-08,C12TES silica (figure 9),Kusakabe 1999,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.96E-07,2.06E-08,1.29E-08,(figure 3),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=200°C, P=4bar)",,200,4,3.78E-07,3.05E-08,1.93E-08,(figure 3),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=300°C, P=4bar)",,300,4,6.44E-07,5.14E-08,3.18E-08,(figure 3),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=400°C, P=4bar)",,400,4,9.50E-07,7.16E-08,4.14E-08,(figure 3),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,2.27E-07,2.06E-08,1.19E-08,0 surface mods (figure 4),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,2.11E-07,2.06E-08,1.02E-08,1 surface mods (figure 4),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.72E-07,2.06E-08,6.06E-09,2 surface mods (figure 4),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.57E-07,2.06E-08,4.13E-09,3 surface mods (figure 4),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,9.96E-08,2.43E-08,7.78E-09,0 surface mods (figure 5),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.19E-07,3.90E-08,1.21E-08,1 surface mods (figure 5),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.40E-07,6.38E-08,9.66E-09,2 surface mods (figure 5),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.26E-07,4.71E-08,9.46E-09,3 surface mods (figure 5),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=30°C, P=4bar)",,30,4,1.13E-07,7.28E-08,2.69E-09,(figure 6),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=65°C, P=4bar)",,65,4,1.15E-07,5.69E-08,3.17E-09,(figure 6),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=100°C, P=4bar)",,100,4,1.15E-07,4.85E-08,4.06E-09,(figure 6),Kusakabe 2003,
sol-gel: Templated,sol-gel Templated," by dip coating (T=150°C, P=4bar)",,150,4,1.23E-07,3.01E-08,4.38E-09,(figure 6),Kusakabe 2003,
sol-gel,sol-gel Si,by dip coating (T=450°C),,450,,6.24E-06,,2.21E-06,Pd/SiO2/Ni/SUS (figure 2),Lee 2003,
sol-gel,sol-gel Si,by dip coating (T=450°C),,450,,6.16E-06,,1.71E-06,Pd/SiO2/Cu/SUS (figure 7),Lee 2003,
sol-gel,sol-gel Si,by dip coating (T=250°C),,250,,9.05E-09,,3.65E-10,Si/Si/Ni/SUS (figure 10a),Lee 2003,
sol-gel,sol-gel Si,by dip coating (T=350°C),,350,,2.94E-06,,9.86E-07,Si/Si/Ni/SUS (figure 10b),Lee 2003,
sol-gel,sol-gel Si,by dip coating (T=450°C),,450,,4.56E-06,,1.52E-06,Si/Si/Ni/SUS (figure 10c),Lee 2003,
sol-gel,sol-gel Si," by dip coating (T=350°C, P=0.42bar)",,350,0.42,3.77E-07,,1.01E-07,SiO2/y-Al/SiO2/SUS (RH 60%) (figure 2),Lee 2004,
sol-gel,sol-gel Si," by soak rolling (T=350°C, P=0.42bar)",,350,0.42,6.66E-08,,5.57E-09,SiO2/y-Al/SiO2/SUS (RH 60%) (figure 10),Lee 2004,
sol-gel,sol-gel Si," by soak rolling (T=250°C, P=0.42bar)",,250,0.42,2.57E-07,,7.12E-08,SiO2/y-Al/SiO2/SUS (RH 30%) (figure 13),Lee 2004,
CVD,CVD Si," (T=600°C, t=3h, P=0.6bar)",3.00,600,0.6,7.11E-07,4.75E-08,,(figure 5),Lee 2004 b,
CVD,CVD Si," (T=600°C, t=6h, P=0.6bar)",6.00,600,0.6,2.85E-07,1.80E-09,,(figure 5),Lee 2004 b,
CVD,CVD Si," (T=600°C, t=9h, P=0.6bar)",9.00,600,0.6,1.63E-07,2.57E-10,,(figure 5),Lee 2004 b,
CVD,CVD Si," (T=600°C, t=12h, P=0.6bar)",12.00,600,0.6,1.21E-07,8.05E-11,,(figure 5),Lee 2004 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,3.40E-08,3.10E-09,,MR1 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,3.17E-08,2.30E-09,,MR2 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,2.71E-08,2.08E-09,,MR3 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,3.12E-08,1.92E-09,,MR4 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,2.94E-08,1.56E-09,,MR5 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=200°C),,200,,2.89E-08,1.45E-09,,MR6 (table 3),Lee 2006 b,
sol-gel,sol-gel Si,by soak-rolling (T=20°C),,20,,1.37E-08,3.36E-09,1.21E-09,(figure 3),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=150°C),,150,,2.23E-08,3.21E-09,1.43E-09,(figure 3),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=250°C),,250,,2.70E-08,2.97E-09,1.21E-09,(figure 3),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=350°C),,350,,3.38E-08,2.75E-09,1.21E-09,(figure 3),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=20°C),,20,,6.07E-09,9.09E-10,2.05E-10,(figure 6),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=150°C),,150,,1.28E-08,8.05E-10,2.05E-10,(figure 6),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=250°C),,250,,1.78E-08,7.19E-10,2.03E-10,(figure 6),Lee 2008,
sol-gel,sol-gel Si,by soak-rolling (T=350°C),,350,,2.37E-08,6.28E-10,2.03E-10,(figure 6),Lee 2008,
CVD,CVD Si," (T=600°C, t=3h, P=0.22bar)",3.00,600,0.22,3.15E-08,5.70E-09,,(figure 6),Lee 2002,
CVD,CVD Si," (T=600°C, t=6h, P=0.22bar)",6.00,600,0.22,3.05E-08,4.00E-09,,(figure 6),Lee 2002,
CVD,CVD Si," (T=600°C, t=9h, P=0.22bar)",9.00,600,0.22,2.70E-08,2.80E-11,,(figure 6),Lee 2002,
sol-gel,sol-gel Si," by communicating vessel (T=450°C, P=3bar)",,450,3,5.33E-07,6.48E-09,,Flat (figure 4),Luiten 2010,
sol-gel,sol-gel Si," by communicating vessel (T=450°C, P=3bar)",,450,3,1.02E-06,2.62E-08,5.62E-09,B (figure 4),Luiten 2010,
sol-gel,sol-gel Si," by communicating vessel (T=450°C, P=3bar)",,450,3,5.43E-07,5.89E-09,1.59E-09,E (figure 4),Luiten 2010,
CVD,CVD x depositions,(T=750°C),,750,,2.97E-08,,7.86E-09,0 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.72E-08,,5.51E-09,1 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.64E-08,,4.92E-09,2 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.25E-08,,2.20E-09,3 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.67E-08,,5.65E-10,4 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.24E-08,,1.76E-09,4 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.42E-08,,3.52E-10,5 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.93E-08,,1.03E-09,5 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.73E-08,,6.09E-10,5 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,8.96E-09,,3.58E-11,6 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.40E-08,,4.19E-10,6 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.09E-08,,5.43E-10,6 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,7.05E-09,,3.52E-11,7 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,9.47E-09,,8.81E-11,7 (table 1),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.86E-08,,7.71E-09,0 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.58E-08,,3.75E-09,1 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.44E-08,,1.40E-09,2 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.23E-08,,1.03E-09,3 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,2.06E-08,,7.34E-10,4 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.94E-08,,2.13E-10,5 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.95E-08,,6.46E-10,5 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.82E-08,,1.25E-10,6 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.92E-08,,5.14E-10,6 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.76E-08,,1.25E-10,7 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.87E-08,,6.09E-10,7 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.40E-08,,7.34E-10,7 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.17E-08,,6.61E-11,8 (table 2),Megiris 1992,
CVD,CVD x depositions,(T=750°C),,750,,1.20E-08,,8.81E-11,8 (table 2),Megiris 1992,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=100°C),,100,,2.00E-09,,5.30E-10,(figure 2),Mori 2006 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=200°C),,200,,1.95E-09,,6.05E-10,(figure 2),Mori 2006 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=250°C),,250,,1.92E-09,,6.05E-10,(figure 2),Mori 2006 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=300°C),,300,,2.20E-09,,5.80E-10,(figure 2),Mori 2006 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=350°C),,350,,3.40E-08,,5.10E-10,(figure 2),Mori 2006 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O,by dip coating (T=400°C),,400,,4.80E-07,,5.00E-10,(figure 2),Mori 2006 b,
CVD,CVD Si," (T=10°C, t=2h)",2.00,10,,5.52E-08,,1.46E-08,(figure 6),Morooka 1995,
CVD,CVD Si," (T=200°C, t=2h)",2.00,200,,5.22E-08,,1.34E-08,(figure 6),Morooka 1995,
CVD,CVD Si," (T=400°C, t=2h)",2.00,400,,5.05E-08,,1.22E-08,(figure 6),Morooka 1995,
CVD,CVD Si," (T=600°C, t=2h)",2.00,600,,4.04E-08,,1.03E-08,(figure 6),Morooka 1995,
CVD,CVD Si," (T=10°C, t=3h)",3.00,10,,4.10E-08,,8.28E-09,(figure 6),Morooka 1995,
CVD,CVD Si," (T=200°C, t=3h)",3.00,200,,4.04E-08,,9.25E-09,(figure 6),Morooka 1995,
CVD,CVD Si," (T=400°C, t=3h)",3.00,400,,4.10E-08,,7.72E-09,(figure 6),Morooka 1995,
CVD,CVD Si," (T=600°C, t=3h)",3.00,600,,4.58E-08,,8.45E-09,(figure 6),Morooka 1995,
CVD,CVD Si,(T=10°C),,10,,1.25E-07,2.36E-08,2.65E-08,(figure 7),Morooka 1995,
CVD,CVD Si,(T=200°C),,200,,1.18E-07,2.45E-08,2.75E-08,(figure 7),Morooka 1995,
CVD,CVD Si,(T=400°C),,400,,1.18E-07,2.33E-08,2.33E-08,(figure 7),Morooka 1995,
CVD,CVD Si,(T=600°C),,600,,1.29E-07,,2.45E-08,(figure 7),Morooka 1995,
CVD,CVD Si,(T=650°C),,650,,1.31E-07,,2.36E-08,(figure 7),Morooka 1995,
CVD,CVD Si,(T=10°C),,10,,1.54E-08,3.13E-09,3.44E-09,(figure 7),Morooka 1995,
CVD,CVD Si,(T=200°C),,200,,1.38E-08,2.82E-09,3.13E-09,(figure 7),Morooka 1995,
CVD,CVD Si,(T=400°C),,400,,1.38E-08,2.79E-09,2.66E-09,(figure 7),Morooka 1995,
CVD,CVD Si,(T=600°C),,600,,1.47E-08,,3.87E-09,(figure 7),Morooka 1995,
CVD,CVD Si,(T=650°C),,650,,1.47E-08,,4.10E-09,(figure 7),Morooka 1995,
CVD,CVD Si," (T=10°C, P=1bar)",,10,1,1.61E-08,,5.87E-09,(figure 7),Morooka 1996,
CVD,CVD Si," (T=200°C, P=1bar)",,200,1,1.51E-08,,6.61E-09,(figure 7),Morooka 1996,
CVD,CVD Si," (T=400°C, P=1bar)",,400,1,1.69E-08,,5.35E-09,(figure 7),Morooka 1996,
CVD,CVD Si," (T=600°C, P=1bar)",,600,1,2.08E-08,,5.03E-09,(figure 7),Morooka 1996,
CVD,CVD Si," (T=40°C, t=6h)",6.00,40,,3.06E-08,2.44E-09,8.39E-11,(figure 6),Nakao 2000,
CVD,CVD Si," (T=80°C, t=6h)",6.00,80,,3.55E-08,2.81E-09,1.20E-10,(figure 6),Nakao 2000,
CVD,CVD Si," (T=120°C, t=6h)",6.00,120,,3.50E-08,3.27E-09,1.75E-10,(figure 6),Nakao 2000,
CVD,CVD Si," (T=160°C, t=6h)",6.00,160,,3.28E-08,2.66E-09,3.14E-10,(figure 6),Nakao 2000,
CVD,CVD Si," (T=200°C, t=6h)",6.00,200,,3.30E-08,3.27E-09,3.78E-10,(figure 6),Nakao 2000,
CVD,CVD Si," (T=40°C, t=8h)",8.00,40,,1.88E-08,,3.22E-11,(figure 7),Nakao 2000,
CVD,CVD Si," (T=80°C, t=8h)",8.00,80,,2.97E-08,,7.50E-11,(figure 7),Nakao 2000,
CVD,CVD Si," (T=120°C, t=8h)",8.00,120,,3.38E-08,,1.85E-10,(figure 7),Nakao 2000,
CVD,CVD Si," (T=160°C, t=8h)",8.00,160,,3.76E-08,,1.91E-10,(figure 7),Nakao 2000,
CVD,CVD Si," (T=200°C, t=8h)",8.00,200,,3.69E-08,,4.22E-10,(figure 7),Nakao 2000,
CVD,CVD Si," (T=250°C, t=0.71667h)",0.72,250,,4.00E-07,,9.30E-09,1 (table 1),Nijmeijer 1998,
CVD,CVD Si," (T=20°C, t=0.71667h)",0.72,20,,1.70E-07,,3.99E-09,1 (table 1),Nijmeijer 1998,
CVD,CVD Si," (T=250°C, t=0.41667h)",0.42,250,,2.00E-07,4.00E-09,8.00E-09,2 (table 1),Nijmeijer 1998,
CVD,CVD Si,(T=100°C),,100,,8.30E-08,,9.18E-10,300C CVD (figure 2),Nomura 2005,
